simak;latitude;longitude;data;device;
768;-23,59021;-46,815975;2013-07-25 20:32:07.90264;355255051205947;
1576;-23,590187;-46,815987;2013-07-25 20:31:17.011153;355255051205947;
302;-23,590187;-46,815987;2013-07-25 20:30:40.675496;355255051205947;
805;-23,590187;-46,815987;2013-07-25 20:30:22.270973;355255051205947;
479;-23,590145;-46,81601;2013-07-25 20:29:22.333335;355255051205947;
377;-23,590145;-46,81601;2013-07-25 20:28:58.920585;355255051205947;
1215;-23,590145;-46,81601;2013-07-25 20:28:35.679899;355255051205947;
894;-23,590115;-46,815975;2013-07-25 20:28:07.69226;355255051205947;
798;-23,590115;-46,815975;2013-07-25 20:27:40.53887;355255051205947;
606;-23,590124;-46,81597;2013-07-25 20:27:00.570175;355255051205947;
834;-23,590113;-46,815964;2013-07-25 20:26:45.101235;355255051205947;
842;-23,590113;-46,815964;2013-07-25 20:26:24.913256;355255051205947;
833;-23,590115;-46,815964;2013-07-25 20:25:49.351311;355255051205947;
